SAMPLE_NUMBER,ENTRY
5047322,0.26812
5059716,0.28511
5068269,0.24848
5075417,0.28315
5080569,0.25951
5088148,0.26565
5102338,0.28247
5116781,0.19476
5123057,0.18588
5126962,0.25127
5137768,0.2752
5158120,0.27076
5163519,0.23072
5168840,0.26786
5172709,0.28023
5182094,0.27958
5183026,0.3576
5203738,0.26835
5204287,0.2377
5211055,0.2711
5221631,0.25233
5227515,0.24121
5239133,0.25982
5247723,0.23788
5259331,0.24431
5275620,0.2446
5296457,0.241
5304315,0.25863
5310015,0.30375
5316713,0.26876
5320907,0.29023
5331354,0.1685
5338634,0.43879
5342897,0.22997
5354370,0.37638
5357531,0.29758
5363816,0.27879
5377087,0.26307
5377615,0.23212
5399915,0.20233
5423997,0.2731
5427147,0.22785
5436997,0.25498
5449357,0.32827
5452857,0.47226
5460627,0.34645
5466556,0.25727
5471259,0.23449
5478417,0.24845
5487116,0.2387
5506827,0.22952
5523751,0.28937
5531361,0.24055
5547616,0.24257
5556403,0.31388
5582245,0.21411
5591421,0.20774
5602709,0.3566
5612522,0.24949
5616999,0.25946
5628242,0.46783
5637533,0.26132
5653873,0.23101
5693056,0.26293
5696494,0.2296
5697863,0.22436
5701532,0.24223
5709354,0.30693
5720117,0.24658
5733118,0.22558
5743849,0.2671
5747403,0.25165
5751839,0.28719
5756376,0.24752
5763077,0.25799
5770559,0.25293
5774837,0.27748
5785222,0.23226
5786091,0.23048
5798635,0.28733
5805299,0.22141
5811532,0.27007
5816745,0.25086
5845339,0.26493
5845343,0.3464
5857320,0.25199
5857328,0.31687
5869060,0.30433
5869064,0.32725
5878355,0.26374
5878394,0.35667
5881036,0.30319
5881038,0.3146
5893627,0.21642
5893636,0.18169
5912925,0.25819
5912954,0.33554
5921112,0.2749
5925601,0.23205
5925606,0.3063
5933475,0.24635
5933485,0.30925
5939586,0.3142
5939587,0.3188
5942995,0.287
5943022,0.35375
5947048,0.2196
5947051,0.30405
5947176,0.4091
5955132,0.2519
5955146,0.34225
5966146,0.2186
5972572,0.2513
5972578,0.26575
5974043,0.2897
5983219,0.3122
5983224,0.35295
5986234,0.2335
5986239,0.31185
5989767,0.26525
5997775,0.3166
5997778,0.3534
6004437,0.26515
6004438,0.3399
6007235,0.234600197
6007302,0.241113381
6014671,0.267797443
6014673,0.28205
6018581,0.238454012
6018586,0.30526057
6026738,0.2478
6026744,0.3124
6033921,0.210967099
6033930,0.279940711
6038751,0.188634098
6038779,0.292992048
6044875,0.23645
6044900,0.287176938
6052861,0.23013834
6052869,0.332247082
6068296,0.20025
6068299,0.2642
6080014,0.270521654
6081167,0.197860697
6089289,0.212623274
6089303,0.3
6097117,0.198297665
6097135,0.261978131
6109365,0.18981019
6109383,0.251994018
6120974,0.2047
6120980,0.281791339
6128792,0.319472112
6128819,0.315719882
6139708,0.28
6151456,0.278043912
6151496,0.31815
6163044,0.275246548
6163056,0.355509259
6177947,0.203
6178096,0.323485601
6188023,0.276023392
6209113,0.309611554
6228037,0.30942029
6235291,0.333524355
6250195,0.336263736
6260919,0.309642147
6271851,0.296853491
6286251,0.261363636
6294382,0.274173749
6315370,0.375670308
6319793,0.29033366
6328612,0.320178042
6335186,0.349804305
6345922,0.503631841
6356228,0.292
6359536,0.330587669
6378619,0.388491675
6382663,0.287228797
6389022,0.291832669
6394388,0.3132
6404008,0.621483996
6413432,0.29789272
6436762,0.257759457
6453282,0.300797607
6468013,0.255014896
6484759,0.26684261
6496406,0.277816206
6499826,0.50225
6512881,0.308128079
6526997,0.286709486
6536184,0.266715543
6546025,0.306035329
6558075,0.29465
6568700,0.295029821
6572238,0.241411649
6580144,0.301932607
6588283,0.302257115
6591423,0.257719124
6595236,0.247507478
